epoch,train_loss,valid_loss,perplexity
1,2.4337397036345108,2.2855504088931613,11.683720434597573
2,2.109222517497298,1.9279380043347676,7.86530879822644
3,1.7575343121653018,1.6011353863610163,5.426521876545772
4,1.4603786503059277,1.3406628966331482,4.071888303802498
5,1.2439062526260598,1.1792974472045898,3.4606739063474987
6,1.103977558405503,1.0501135190327961,2.987948378953467
7,0.9933797941691633,0.9701527853806814,2.744209744715978
8,0.92450978099436,0.890337112877104,2.522094648275362
9,0.8643169636311738,0.8447753091653188,2.4130546867678664
10,0.8203132981839387,0.8090112772252824,2.3183775480159796
11,0.7784837354784426,0.7655079695913527,2.2184619483172265
12,0.7460290971009628,0.7280536691347758,2.1391707182547726
13,0.7184705803359764,0.7085418171352811,2.095526237754242
14,0.6932737550873688,0.6907947295241885,2.0408040468622892
15,0.6797267699587173,0.6739031473795573,2.019148187949528
16,0.6586451279944268,0.6531478332148658,1.9724180912999385
17,0.6395872520363849,0.635147233804067,1.9343724182119146
18,0.6256255809811578,0.6366095542907715,1.9459499791809698
19,0.6123061672500942,0.6120861139562395,1.8912162954371579
20,0.5998604336510533,0.5985501375463274,1.8628277358846421
21,0.5918044085087983,0.5915905634562174,1.853141397748226
22,0.5808033442151719,0.590829955206977,1.852634446283209
23,0.5737413072931594,0.5858150886164771,1.8400868381862479
24,0.5625880978245666,0.5522958752181795,1.7883548467008934
25,0.5574861751950305,0.5630815509292815,1.7979504616377082
26,0.5466361883757771,0.5347294509410858,1.751735440457268
27,0.5372799574464991,0.5460308177603616,1.7744490340983197
28,0.534073540697927,0.5339145064353943,1.747519226994949
29,0.5224996628104777,0.5341796411408318,1.736601218446825
30,0.5164018951464391,0.5198568486505084,1.7167535454482339
31,0.5126811015433159,0.5118982874684863,1.711083948994545
32,0.5019970631253892,0.49421604805522495,1.678029494640002
33,0.49677353838215704,0.5075131290488772,1.695323040633925
34,0.4998444582241169,0.5000816302167045,1.6889658264367877
35,0.485654565303222,0.4830935597419739,1.652809830647771
36,0.479458332925603,0.48655880987644196,1.6601094965943162
37,0.4797446580900662,0.48393233120441437,1.6552516034650648
38,0.473951067181601,0.4811877840095096,1.6500158600564654
39,0.46966539431309356,0.4705253094434738,1.6370475372194244
40,0.46605397134587384,0.4627923435635037,1.6246295693242867
41,0.4560674770154815,0.4658381574683719,1.625277343732166
42,0.4523245679295581,0.4561885976129108,1.6110843802226602
43,0.4453996601312057,0.46246988740232253,1.6174935964733068
44,0.4430295855238818,0.4511324581172731,1.59487895713312
45,0.44097287024276843,0.4510764628648758,1.6058311818496955
46,0.4303626949372499,0.436483265625106,1.5792434667357196
47,0.42835005469944165,0.4370164821545283,1.5772799327101983
48,0.42733661247336346,0.4343077523840798,1.5779345569365177
49,0.4274929200393566,0.43176038563251495,1.5672283503074238
50,0.4253276163253231,0.4245645585987303,1.5575021186111784
