epoch,train_loss,valid_loss,perplexity
1,2.1847339687925396,1.7136630310731775,6.232254605177575
2,1.2822346524758772,0.931788279729731,2.661107553610328
3,0.7597942514853044,0.6243387390585506,1.918626466194164
4,0.5734328690803412,0.5231702765997719,1.7214170491989624
5,0.495433357628909,0.46228449309573455,1.6146561645269122
6,0.44461652410752844,0.4195996820926666,1.551009663620221
7,0.40636101274779346,0.38953573738827424,1.5071211928606592
8,0.3810487547607133,0.3637097372728236,1.4633808283326923
9,0.35341771443684894,0.33716074684086966,1.426235257339577
10,0.3334181778358691,0.3195495798307307,1.3957789703201133
11,0.3130304194761045,0.3038063417462742,1.370835871934525
12,0.2957645652420593,0.28713401450830345,1.3477094064427635
13,0.2773309697707494,0.27905376518473907,1.3373099538600455
14,0.2635749445268602,0.2592790258281371,1.3066321834284305
15,0.25455238399180496,0.2514447701327941,1.302136317245323
16,0.23942018480915012,0.23849494229344761,1.2833571021311867
17,0.23055857465122687,0.22606101456810446,1.262793040645226
18,0.22114330981716965,0.22094955689766826,1.2589861063139416
19,0.20978197568293774,0.20588327593663158,1.2399243137322251
20,0.1974682609240214,0.19911487488185659,1.230530282691624
21,0.1905596831982786,0.190148486810572,1.2136615833018338
22,0.1870811493559317,0.17696263246676502,1.2006483866196955
23,0.17720237171108072,0.17444002365364747,1.2002236157120638
24,0.1714944186987299,0.16421321297393127,1.1827708118332243
25,0.16190176863561978,0.16178165113224702,1.1822944431486915
26,0.15399139656713515,0.15396519005298615,1.1712869068873974
27,0.15159872783855957,0.147304026519551,1.1640535695258138
28,0.1439043188636953,0.14362936817547856,1.1614830209423217
29,0.13793525923833702,0.13832679522388122,1.154232413363506
30,0.13883445299032962,0.13350528259487712,1.1467835238700808
31,0.12884280672579101,0.1304104687536464,1.142428208934377
32,0.12698697445519042,0.12243783386314616,1.1324200488278138
33,0.12103826315565543,0.12524215877056122,1.1347842503895844
34,0.11731498632015604,0.11361726461087956,1.1223460955507822
35,0.11451502482999455,0.11450663734884824,1.1217228836743072
36,0.1104736105736458,0.10966766450334997,1.1179291317229083
37,0.10612503698829448,0.10591626737047644,1.1134405645386902
38,0.10298622207659663,0.10086186931413763,1.1072315052313533
39,0.09791185842318968,0.09929406511432984,1.107752777612743
40,0.09736185949860197,0.10067944535437752,1.1066107537034549
41,0.0939762012073488,0.0968179935041596,1.1050806166917126
42,0.09068812012220874,0.08976692136596232,1.0949498541941036
43,0.0889904833201206,0.08490870630039889,1.091429905105844
44,0.08535106175325134,0.08768524010391797,1.0934142745234992
45,0.08443705534393137,0.08490014426848468,1.0894581454582117
46,0.08023315352020842,0.08177358437986935,1.0863527557564483
47,0.07951620469490688,0.08493143100948895,1.0920100199727514
48,0.0771526877175678,0.07848501293098226,1.0817497956934359
49,0.07645586646641746,0.07415712800096064,1.0795845019232888
50,0.07342177206142382,0.07412233050255214,1.078587486394544
