pretrained,finetuned_high,finetuned_low
-2.6086404,-0.48700547,-0.5457594
-2.6006134,-0.4575372,-0.4651456
-2.6231296,-0.4845237,-0.5324796
-2.6321926,-0.55072314,-0.5700687
-2.6165617,-0.48964635,-0.55411404
-2.6211631,-0.53711903,-0.55610776
-2.6186857,-0.61254764,-0.66001135
-2.6146119,-0.4998185,-0.5356044
-2.6036832,-0.56998193,-0.61772496
-2.639125,-0.59312785,-0.63726985
-2.6503408,-0.5199135,-0.57607317
-2.6313345,-0.5793664,-0.6147388
-2.6420505,-0.5056619,-0.53086364
-2.6248388,-0.59124714,-0.5873395
-2.615594,-0.51623076,-0.58814603
-2.661704,-0.5027351,-0.52005416
-2.6413422,-0.5916333,-0.5571877
-2.6031382,-0.4911343,-0.5445358
-2.5911095,-0.6525149,-0.7070576
-2.6536682,-0.50730544,-0.5737669
-2.634093,-0.57578325,-0.59083265
-2.6518788,-0.509198,-0.5065999
-2.5924125,-0.49810603,-0.5632833
-2.648239,-0.53322345,-0.5722563
-2.6249022,-0.52473897,-0.5517356
-2.6466258,-0.4693851,-0.5422726
-2.6390548,-0.5811296,-0.5912825
-2.6045537,-0.48799458,-0.4932291
-2.641268,-0.5078732,-0.5390651
-2.6066728,-0.46054593,-0.44683075
-2.646632,-0.5171391,-0.5623571
-2.6448436,-0.5325096,-0.53761524
-2.6141696,-0.4884804,-0.51966673
-2.6212926,-0.5742948,-0.6297077
-2.5999434,-0.54596055,-0.5909568
-2.6550126,-0.53133893,-0.56601876
-2.5942836,-0.5379792,-0.54898626
-2.5907798,-0.47906512,-0.5465751
-2.6382792,-0.54702336,-0.5622848
-2.605303,-0.50604683,-0.5948727
-2.580486,-0.54813254,-0.61952555
-2.622789,-0.6008122,-0.6833517
-2.6606033,-0.54619443,-0.5900323
-2.610936,-0.5217763,-0.53272676
-2.6372786,-0.47281206,-0.5068588
-2.6376188,-0.5120539,-0.5889467
-2.62424,-0.5363652,-0.5713518
-2.5848627,-0.548137,-0.61038023
-2.6327581,-0.5796071,-0.5676443
-2.5845208,-0.46195027,-0.5078358
-2.6433194,-0.56599796,-0.5943872
-2.6574786,-0.5602908,-0.5486934
-2.5991046,-0.4873806,-0.5374999
-2.633096,-0.5133106,-0.58340704
-2.6444645,-0.5055128,-0.55204856
-2.5983527,-0.56792885,-0.6278857
-2.6168182,-0.5659884,-0.5734858
-2.6452315,-0.5151065,-0.55384225
-2.597344,-0.4850619,-0.4953756
-2.6502903,-0.58327913,-0.6166474
-2.6148484,-0.51192445,-0.56050974
-2.598355,-0.47988102,-0.54039276
-2.5927715,-0.48862407,-0.4890969
-2.624201,-0.5558657,-0.59011996
-2.6155074,-0.5338241,-0.56351846
-2.6185906,-0.4983535,-0.50528705
-2.6261714,-0.48438182,-0.52637976
-2.6262662,-0.44908795,-0.49169347
-2.6437526,-0.5451499,-0.5693575
-2.632953,-0.48356,-0.53326774
-2.6411083,-0.6118041,-0.64898485
-2.6114013,-0.5120102,-0.5281753
-2.6101305,-0.5492436,-0.5730676
-2.627468,-0.5578881,-0.57833123
-2.617304,-0.5242075,-0.57153314
-2.5990283,-0.43966424,-0.49818638
-2.6348588,-0.53892744,-0.5443436
-2.6241283,-0.5352173,-0.5380125
-2.6028478,-0.5271343,-0.5363529
-2.6322916,-0.5160756,-0.5768822
-2.606872,-0.48187497,-0.48765936
-2.6158528,-0.5963784,-0.63638854
-2.5811157,-0.43405858,-0.45860475
-2.6059978,-0.5337904,-0.5460982
-2.6624033,-0.5563296,-0.60292274
-2.5996585,-0.5345915,-0.58603704
-2.6275632,-0.5342156,-0.59407115
-2.5772738,-0.5308546,-0.58074385
-2.6082182,-0.513701,-0.5717872
-2.6376693,-0.52835673,-0.5761854
-2.621199,-0.50741297,-0.5300781
-2.6076121,-0.5596013,-0.5777078
-2.628778,-0.49000105,-0.5024346
-2.6395552,-0.6098763,-0.66225237
-2.6301513,-0.4825997,-0.5132036
-2.6234097,-0.55490094,-0.58089113
-2.6206849,-0.5544266,-0.5584962
-2.6237857,-0.55579025,-0.5809951
-2.5918381,-0.5195809,-0.57837945
-2.614249,-0.4834313,-0.57747525
-2.5998113,-0.5626826,-0.6091636
-2.609846,-0.51352435,-0.5567633
-2.658314,-0.4872971,-0.52367246
-2.5592723,-0.6167356,-0.6592254
-2.605154,-0.4843917,-0.48226297
-2.5816667,-0.55028206,-0.5576468
-2.6810305,-0.49592376,-0.524278
-2.6978188,-0.63912755,-0.6287491
-2.6079056,-0.56397974,-0.5810194
-2.6261132,-0.5673895,-0.5650375
-2.6105554,-0.54159135,-0.59521866
-2.635674,-0.56087416,-0.5719321
-2.6053755,-0.43492472,-0.43129247
-2.6484363,-0.54936606,-0.585823
-2.6400967,-0.4558512,-0.50276166
-2.6467445,-0.5286337,-0.5655522
-2.6738687,-0.49188745,-0.54701334
-2.6388867,-0.51381534,-0.5239359
-2.6138556,-0.5901122,-0.61586076
-2.5896459,-0.5655916,-0.54837567
-2.6116338,-0.5637107,-0.6029725
-2.6506426,-0.6062712,-0.58302736
-2.6093957,-0.56822145,-0.6141092
-2.6114514,-0.531921,-0.620419
-2.6744661,-0.5471504,-0.59633154
-2.6155748,-0.55870086,-0.6089295
-2.5963104,-0.54184365,-0.60818094
-2.6254342,-0.5561412,-0.5758988
-2.6158907,-0.49539685,-0.5360324
-2.6303844,-0.5522248,-0.5959092
-2.614204,-0.49718797,-0.5111041
-2.6140158,-0.52621764,-0.5618001
-2.601657,-0.46593228,-0.5059957
-2.651291,-0.54442304,-0.59225774
-2.624166,-0.5467621,-0.56751716
-2.628787,-0.5451262,-0.5856271
-2.5924935,-0.56067264,-0.6437877
-2.603746,-0.55604154,-0.55232483
-2.6060069,-0.47693256,-0.4952784
-2.5983543,-0.460048,-0.526028
-2.594872,-0.44953245,-0.4841003
-2.6458101,-0.45260212,-0.512824
-2.6543212,-0.513451,-0.59182894
-2.650201,-0.50774896,-0.52109355
-2.6072693,-0.49303946,-0.51909673
-2.628145,-0.5528566,-0.54850715
-2.6391191,-0.66936886,-0.7186344
-2.625302,-0.53399867,-0.56201035
-2.6276023,-0.5190715,-0.56303126
-2.6313043,-0.54208845,-0.5774827
-2.6117795,-0.46989384,-0.5400537
-2.6429548,-0.53908515,-0.6077647
-2.6268873,-0.5727091,-0.60716754
-2.6020045,-0.49905825,-0.5697318
-2.6338477,-0.49902678,-0.5348417
-2.6255476,-0.529856,-0.54495823
-2.6209207,-0.5755564,-0.6519931
-2.6090527,-0.5590091,-0.57575583
-2.683653,-0.5667844,-0.57218903
-2.641924,-0.59547883,-0.64267844
-2.631016,-0.48106092,-0.5384756
-2.6068943,-0.50987035,-0.55970114
-2.638738,-0.438812,-0.5198197
-2.6344573,-0.48430398,-0.5078094
-2.6374295,-0.5017886,-0.5263444
-2.618853,-0.5561387,-0.5622519
-2.6453674,-0.46734408,-0.49157962
-2.6027954,-0.50089943,-0.5056402
-2.6023388,-0.27106783,-0.28188732
-2.6040554,-0.25307593,-0.27922854
-2.6114702,-0.25107262,-0.29000396
-2.6101525,-0.23230392,-0.25470662
-2.6076145,-0.26341066,-0.2843852
-2.6114366,-0.26412272,-0.2813503
-2.6154952,-0.24795143,-0.27021897
-2.611848,-0.26294902,-0.2806771
-2.5922108,-0.24811356,-0.30671465
-2.603177,-0.25264153,-0.27704987
-2.5912218,-0.25163192,-0.27896038
-2.6036654,-0.22033904,-0.25393027
